product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
Red Magic 11 Pro Plus 5G,,21099000,12,256,6.85,1216x2688,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, Redmagic OS 11",50 + 50 + 2 MP,"16 MP, f/2.0",7500,163.8x76.5x8.9,230,5,1,https://www.duchuymobile.com/images/detailed/86/nubia-red-magic-11-pro-plus-den.jpg
RedMagic 11 Pro 5G,RedMagic,17599000,12,256,6.85,1216x2688,Snapdragon 8 Elite Gen 5 (3 nm),Android 16,50 + 50 + 2 MP,"16 MP, f/2.0",8000,163.8x76.5x8.9,230,5,1,https://www.duchuymobile.com/images/detailed/88/red-magic-11-pro-mau-den.jpg
Huawei Nova 14i,Huawei,4999000,8,128,6.95,1080x2376,Snapdragon 680 4G (6 nm),EMUI 14.2,50 + 2 MP,8 MP,7000,,171.6 x 79.9 x 8.9 mm,5,1,https://www.duchuymobile.com/images/detailed/86/huawei-nova-14i.jpg
Honor Magic V5 5G,HONOR,33999000,16,512,7.95,2172x2352,Snapdragon 8 Elite (3 nm),Android 15,"Chính 50 MP & Phụ 50 MP, 64 MP",20 + 20 MP,5820,156.8x145.9x74.3,Khun,5,4,https://www.duchuymobile.com/images/detailed/86/dien-thoai-honor-magic-v5.png
iPhone Air 1TB,Apple,37499000,12,1024,6.5,1260x2736,Apple A19 Pro (3 nm),iOS 26,48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",27 giờ,156.2x74.7x5.64,,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-air-den_gdxx-sf_kfmd-9d_wqat-0q_qcif-x4.jpg
iPhone 17 Pro Max 1TB,Apple,45999000,12,1024,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,đến 37 giờ,163.4x78x8.75,231,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-pro-max-bac_ozxa-ka_xg2w-5y.jpg
iPhone 17 Pro Max 2TB,Apple,45999000,12,2048,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,đến 37 giờ,163.4x78x8.75,231,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-pro-max-bac_ozxa-ka_xg2w-5y_n4x4-6r.jpg
iPhone 17 Pro 1TB,Apple,40199000,12,1024,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",31 giờ,150x71.9x8.75,204,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-pro-xanh-dam_nmuu-zm_etx7-dv.jpg
iPhone 17 Pro Max 256GB,Apple,34999000,12,256,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,đến 37 giờ,163.4x78x8.75,231,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-pro-max-bac.jpg
iPhone Air 256GB,Apple,25799000,12,256,6.5,1260x2736,Apple A19 Pro (3 nm),iOS 26,48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",27 giờ,156.2x74.7x5.64,,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-air-den_gdxx-sf_kfmd-9d_wqat-0q.jpg
