product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,original_price,stock,image_url
OPPO A6 Pro 5G,OPPO,7999000,12,256.0,6.57,1080x2372,Dimensity 6300 5G,Android 15,50 + 2 MP,16 MP,6500.0,158.2x75.02x8,185,5,1,10150000.0,2,https://www.duchuymobile.com/images/detailed/86/oppo-a6-pro-5g-hong.jpg
Infinix Note Edge 5G,Infinix,5299000,8,128.0,6.78,1208x2644,Dimensity 7100 (6 nm),"Android 16, XOS 16",50 MP,13 MP,6500.0,163.1x77.4x7.2,190,5,1,5880000.0,69,https://www.duchuymobile.com/images/detailed/89/infinix-note-edge.jpg
realme C85,Realme,5169000,8,128.0,6.8,720x1570,Snapdragon 685 8 nhân,Android 15,Chính 50 MP & Cảm biến Flicker,8MP,7000.0,166.18x78.03x8.38,212,5,1,5890000.0,71,https://www.duchuymobile.com/images/detailed/88/realme-c85-xanh.jpg
HONOR Magic 8 Pro Air 5G,HONOR,18839000,12,256.0,6.31,1216x2640,Dimensity 9500 (3 nm),"Android 16, MagicOS 10",50 + 64 + 50 MP,50 MP,5500.0,150.5x71.9x6.1,155,5,1,20700000.0,26,https://www.duchuymobile.com/images/detailed/89/honor-magic-8-pro-air-cam.jpg
Xiaomi Redmi Turbo 5 Max 5G,Xiaomi,9339000,12,256.0,6.83,1280x2772,Dimensity 9500s (3 nm),"Android 16, HyperOS 3",50MP + 8MP,"20 MP, f/2.2",9000.0,163x77.9x8.2,219,5,1,11010000.0,8,https://www.duchuymobile.com/images/detailed/89/redmi-turbo-5-max.jpg
Motorola Signature 5G,Motorola,29999000,12,256.0,6.8,1264x2780,Snapdragon 8 Gen 5 (3 nm),Android 16,50 + 50 + 50 MP,50 MP,5200.0,162.1x76.4x7,186,5,1,35950000.0,61,https://www.duchuymobile.com/images/detailed/89/motorola-signature.jpg
OPPO A6x,OPPO,3649000,4,128.0,6.75,720x1570,Snapdragon 685 8 nhân,Android 15,13 MP,5MP,6100.0,166.6x78.5x8.61,205,5,1,4240000.0,36,https://www.duchuymobile.com/images/detailed/89/oppo-a6x-xanh.jpg
realme C85 Pro,Realme,5049000,8,128.0,6.8,1080x2344,Snapdragon 685 8 nhân,Android 15,Chính 50 MP & Cảm biến Flicker,8MP,7000.0,164.4x77.99x8.09,205,5,1,6840000.0,96,https://www.duchuymobile.com/images/detailed/86/realme-c85-pro-tim.jpg
OPPO A6T,OPPO,2899000,4,64.0,6.75,720x1570,Snapdragon 685 8 nhân,Android 15,Chính 13 MP & Phụ QVGA,5MP,6100.0,166.6x78.5x8.61,205,5,1,3440000.0,50,https://www.duchuymobile.com/images/detailed/89/oppo-a6t-tim.jpg
Motorola Moto G06 POWER,Motorola,2369000,4,128.0,6.88,720x1640,Helio G81 Extreme 8 nhân,Android 15,50 MP,8 MP,7000.0,171.35x77.50x8.82,220,5,1,2760000.0,105,https://www.duchuymobile.com/images/detailed/87/motorola-moto-g06-power-nau.jpg
Motorola Moto G86 POWER 5G,Motorola,5389000,8,128.0,6.67,1220x2712,Dimensity 7400 8 nhân,Android 15,50 + 8 MP,32 MP,5200.0,161.21x74.74x7.87,185,5,1,6730000.0,43,https://www.duchuymobile.com/images/detailed/87/motorola-moto-g86-power-5g-xanh-duong.jpg
Vivo S50 5G,Vivo,11799000,12,256.0,6.59,1260x2750,Snapdragon 8s Gen 3 (4 nm),"Android 16, OriginOS 6",50 + 50 + 8 MP,"50 MP, f/2.0",6500.0,157.5x74.3x7.6,196,5,1,13270000.0,23,https://www.duchuymobile.com/images/detailed/88/vivo-s50.jpg
Vivo S50 Pro Mini 5G,Vivo,13799000,12,256.0,6.31,1216x2640,Snapdragon 8 Gen 5,"Android 16, OriginOS 6",50 + 50 + 8MP,"50 MP, f/2.0",6500.0,150.8x71.8x8,191,5,1,18560000.0,78,https://www.duchuymobile.com/images/detailed/88/vivo-s50-pro-mini-den.jpg
